"Agency Code","Agency Name","Previous UII","Unique Investment Identifier","Shared Services Category","Shared Services Identifier","LOB Title","Mission Support Investment Category","Bureau Code","Bureau Name","Part Of IT Portfolio","Mission Delivery and Management Support Area","Type of Investment","National Security Systems Identifier","IT Infrastructure and Management Type","Line Item Descriptor","Investment Title","Investment Description","FEA BRM Services - Primary service area","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY Budget Authority Agency Funding ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY Budget Authority Agency Funding ($ M)","Cloud Computing Alternatives Evaluation","Total Cloud PaaS/IaaS Cost CY","Total Cloud SaaS Cost CY","Total Other Managed Services Cost CY","Budget Year","Derived Status","Updated Date","Updated Time"
"	010","Department of the Interior",010-000002320,010-000002320,"00 - Agency Investments",,N/A,"05 - Travel / Transportation","	00","Department of the Interior","02 - Administrative Services and Support Systems","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","IBC - e-Travel Solutions","E-Travel Solutions is under the umbrella of GSA's ETS2 Master Contract.  DOI does not host  eTravel services.  The vendors provide all the infrastructure in accordance with GSA's contract.","122 - Travel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	4",0,0,0,2020,"Eliminated by consolidation",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000357,010-000000856,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","04 - Network","00 - Investment Line","OCIO - Infrastructure - Local Area Network","OCIO standard local area network investment.","139 - Provide and Maintain IT Infrastructure",6.4566,6.094815,5.995046,0,0,0,0,0,0,0,6.4566,0,6.094815,0,5.995046,0,5.995046,"	5",0,0,0,2020,Split,2019-04-03,18:52:02
"	010","Department of the Interior",010-000002258,010-000002258,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","02 - IT Security & Compliance","00 - Investment Line","OCIO - Infrastructure - IT Security & Compliance","Supports the CSIP via ISCM progs that address APTs, risk mitigation, shared svcs, HVAs, firewall auditing & config mgmt, anti-phishing & malware defense, enhanced auth efforts, data & application architecture, & application portability.","315 - Threat and Vulnerability Management",43.980184,58.651016,60.598309,9.981,0,9.932,0,9.981,0,9.981,33.999184,2.298417,48.719016,1.324776,50.617309,1.36985,50.617309,"	1",0,5.700005,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000002181,010-000002507,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","05 - Data Center and Cloud","00 - Investment Line","OCIO - Infrastructure - Data Center & Cloud","OCIO standard Data Center & Cloud investment.","139 - Provide and Maintain IT Infrastructure",32.446904,31.130039,29.449416,0,0,0,0,0,0,0,32.446904,21.194647,31.130039,21.254543,29.449416,14.909687,29.449416,"	1",0.13918,5.79566,0,2020,Split,2019-04-03,18:52:02
"	010","Department of the Interior",010-999990010,010-999990010,"00 - Agency Investments",,Recreation.Gov,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	04","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","E-Gov - Recreation.Gov USDA","Recreation One-Stop, an E-Government initiative, will enhance satisfaction of customers planning trips and making campground/tour reservations.  The IT investment in this initiative is the Recreation Information Data Base (RIDB).","341 - Web Infrastructure",0.103,0.103,0.1,0,0,0,0,0,0,0,0.103,0,0.103,0,0.1,0,0.1,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000364,010-000000364,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Interior Collections Management System (ICMS)","ICMS provides Department-wide consistency in accounting for, reporting on, and providing access to Interior bureau museum collections for use in delivery of bureau mission and compliance activities to the American public.","129 - Reporting and Information",0.592,0.592,0.596851,0,0,0,0,0,0,0,0.592,0,0.592,0,0.596851,0,0.596851,"	3",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000002261,010-000002261,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","02 - IT Security & Compliance","00 - Investment Line","OS - Infrastructure - IT Security & Compliance","This investment captures bureau infrastructure costs that roll up to a parent investment.","315 - Threat and Vulnerability Management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	4",0,0,0,2020,"Eliminated by funding",2019-04-03,18:52:02
"	010","Department of the Interior",010-000001756,010-000001756,"00 - Agency Investments",,N/A,"02 - Financial Management","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Internet Quarters Management Information System (iQMIS)","iQMIS (Internet Quarters Management Information System) stores information about government owned/leased housing, and calculates the rent amount required to be collected from federal employees and other tenants, in compliance with OMB Circular A-45.","119 - Facilities, Fleet and Equipment Management",0.1366,0.275354,0.297338,0,0,0,0,0,0,0,0.1366,0.224,0.275354,0.215297,0.297338,0.2196,0.297338,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000002289,010-000002289,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Internal Control and Audit Follow-up (ICAF)","ICAF provides a single data management and business process management solution to support audit liaisons to document and close audit recommendations.","077 - Inspection and Auditing ",0.02992,0.03052,0.03113,0,0,0,0,0,0,0,0.02992,0,0.03052,0,0.03113,0,0.03113,"	1",0.012791,0.009865,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-999991219,010-999991219,"00 - Agency Investments",,N/A,"03 - Human Resources","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - electronic Official Personnel Folder (eOPF)","EHRI-eOPF is an e-Gov initiative, with OPM as the managing partner. DOI converted of all of the DOI employees Official Personnel Folders (OPFs) to electronic format as of November 2011 and will use this system to access employee personnel information.","345 - Management of Government Records",1.431618,1.4388,1.4388,0,0,0,0,0,0,0,1.431618,0,1.4388,0,1.4388,0,1.4388,"	1",0,1.429401,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000661,010-000000661,"00 - Agency Investments",,N/A,"03 - Human Resources","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - icomplaints","This investment provides a web-based automated system for enterprise-wide management of EEO Complaints Tracking Workflows from initial filing through disposition as mandated by the Congress and the EEOC.","324 - Adjudicate Non-Judicial Requests",0.036202,0.0362,0.06549,0,0,0,0,0,0,0,0.036202,0,0.0362,0,0.06549,0,0.06549,"	1",0,0.021974,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000002301,010-000002301,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - Digital Communications Management","The system allows for digital notification management that integrates with existing federal websites, allows the agency to communicate, market the website and agency activities, and provides quality service to the public.","341 - Web Infrastructure",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:02
